GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure,399,0,0,0,69,0,4,0,4,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,CalculateMeasure,0,144,0,0,0,30,0,11,0,11
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},30,0,0,0,5,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,MainToCalculateMeasure,8,0,0,0,3,0,2,0,2,0
measurement-calculator-annamajal,com.example.maven.measurement_calculator_annamajal,GUICalculateMeasure.new ActionListener() {...},32,0,0,0,5,0,2,0,2,0
